"time","RL_result"
752,-3.2766921100744e-13
753,-3.26206130924125e-13
754,-3.24743050840781e-13
755,-3.23279970757407e-13
756,-3.21816890674001e-13
757,-3.20353810590564e-13
758,-3.18890730507092e-13
759,-3.17427650423586e-13
760,-3.15964570340043e-13
761,-3.14501490256463e-13
762,-3.13038410172843e-13
763,-3.11575330089182e-13
764,-3.10112250005479e-13
765,-3.08649169921731e-13
766,-3.07186089837938e-13
767,-3.05723009754096e-13
768,-3.04259929670204e-13
769,-3.0279684958626e-13
770,-3.01333769502261e-13
771,-2.99870689418207e-13
772,-2.98407609334093e-13
773,-2.96944529249917e-13
774,-2.95481449165678e-13
775,-2.94018369081371e-13
776,-2.92555288996995e-13
777,-2.91092208912546e-13
778,-2.89629128828021e-13
779,-2.88166048743416e-13
780,-2.86702968658729e-13
781,-2.85239888573955e-13
782,-2.8377680848909e-13
783,-2.82313728404131e-13
784,-2.80850648319073e-13
785,-2.79387568233912e-13
786,-2.77924488148642e-13
787,-2.7646140806326e-13
788,-2.74998327977759e-13
789,-2.73535247892134e-13
790,-2.72072167806379e-13
791,-2.70609087720489e-13
792,-2.69146007634456e-13
793,-2.67682927548274e-13
794,-2.66219847461935e-13
795,-2.64756767375433e-13
796,-2.63293687288758e-13
797,-2.61830607201903e-13
798,-2.60367527114858e-13
799,-2.58904447027614e-13
800,-2.57441366940162e-13
801,-2.5597828685249e-13
802,-2.54515206764587e-13
803,-2.53052126676442e-13
804,-2.51589046588042e-13
805,-2.50125966499373e-13
806,-2.48662886410422e-13
807,-2.47199806321174e-13
808,-2.45736726231612e-13
809,-2.44273646141721e-13
810,-2.42810566051483e-13
811,-2.41347485960878e-13
812,-2.39884405869886e-13
813,-2.38421325778487e-13
814,-2.36958245686657e-13
815,-2.35495165594372e-13
816,-2.34032085501608e-13
817,-2.32569005408336e-13
818,-2.31105925314527e-13
819,-2.29642845220151e-13
820,-2.28179765125174e-13
821,-2.26716685029561e-13
822,-2.25253604933275e-13
823,-2.23790524836275e-13
824,-2.22327444738518e-13
825,-2.20864364639959e-13
826,-2.19401284540548e-13
827,-2.17938204440232e-13
828,-2.16475124338956e-13
829,-2.15012044236658e-13
830,-2.13548964133273e-13
831,-2.12085884028733e-13
832,-2.10622803922962e-13
833,-2.09159723815879e-13
834,-2.07696643707398e-13
835,-2.06233563597425e-13
836,-2.0477048348586e-13
837,-2.03307403372593e-13
838,-2.01844323257508e-13
839,-2.00381243140476e-13
840,-1.98918163021359e-13
841,-1.97455082900008e-13
842,-1.9599200277626e-13
843,-1.94528922649937e-13
844,-1.93065842520846e-13
845,-1.91602762388775e-13
846,-1.90139682253493e-13
847,-1.88676602114744e-13
848,-1.87213521972249e-13
849,-1.85750441825697e-13
850,-1.84287361674746e-13
851,-1.82824281519014e-13
852,-1.81361201358077e-13
853,-1.79898121191458e-13
854,-1.78435041018623e-13
855,-1.76971960838968e-13
856,-1.75508880651811e-13
857,-1.74045800456372e-13
858,-1.72582720251761e-13
859,-1.71119640036959e-13
860,-1.69656559810785e-13
861,-1.68193479571876e-13
862,-1.66730399318643e-13
863,-1.65267319049231e-13
864,-1.63804238761467e-13
865,-1.62341158452792e-13
866,-1.60878078120188e-13
867,-1.59414997760092e-13
868,-1.57951917368343e-13
869,-1.56488836940172e-13
870,-1.55025756470165e-13
871,-1.53562675952181e-13
872,-1.52099595379258e-13
873,-1.50636514743479e-13
874,-1.49173434035486e-13
875,-1.47710353242427e-13
876,-1.46247272348293e-13
877,-1.44784191334819e-13
878,-1.43321110180833e-13
879,-1.41858028861587e-13
880,-1.40394947348045e-13
881,-1.3893186560608e-13
882,-1.37468783595581e-13
883,-1.3600570126944e-13
884,-1.34542618572431e-13
885,-1.33079535439937e-13
886,-1.3161645179655e-13
887,-1.30153367554518e-13
888,-1.28690282612063e-13
889,-1.2722719685156e-13
890,-1.25764110137631e-13
891,-1.24301022315161e-13
892,-1.22837933207335e-13
893,-1.21374842613754e-13
894,-1.19911750308778e-13
895,-1.18448656040237e-13
896,-1.16985559528754e-13
897,-1.1552246046794e-13
898,-1.14059358525837e-13
899,-1.12596253348051e-13
900,-1.11133144563214e-13
901,-1.09670031791207e-13
902,-1.08206914655206e-13
903,-1.06743792798517e-13
904,-1.05280665907156e-13
905,-1.03817533739472e-13
906,-1.02354396164197e-13
907,-1.00891253208311e-13
908,-9.94281051161552e-14
