t,S,E,I,R,beta(t),R(t),new_infections,new_symptomatic
174.0,7899.67567785288,9.105343846067854,32.874927328296025,92059.34405097281,5e-06,0.22593072438659234,1.2985063191326054,2.265010906982053
175.0,7898.443678821273,8.188398382128053,29.57045193653342,92064.79747086011,5e-06,0.2258954892142884,1.1678027458900033,2.036915020429864
176.0,7897.335687797324,7.363845527212529,26.597768429406052,92069.7026982461,5e-06,0.22586380067100345,1.050257529166587,1.8318023699533657
177.0,7896.339220827809,6.62236592823165,23.92363194519992,92074.11478129879,5e-06,0.22583530171567534,0.9445455661676562,1.6473547085153362
178.0,7895.443050879336,5.955581897313188,21.518115073010975,92078.08325215038,5e-06,0.22580967125514897,0.849475260606132,1.4814880341575096
179.0,7894.6370815364235,5.355962190710347,19.354280001821916,92081.65267627107,5e-06,0.22578662053194168,0.7639750829441108,1.332328903161778
180.0,7893.91223298627,4.816736150522372,17.40788167365517,92084.86314918958,5e-06,0.22576588986340732,0.6870814504702203,1.1981930722692469
181.0,7893.260339616799,4.331816653214567,15.657100273934606,92087.75074345608,5e-06,0.22574724571304042,0.6179278431282568,1.0775663316454147
182.0,7892.674057919489,3.8957308599398885,14.082299986955608,92090.34791123365,5e-06,0.22573047805649737,0.5557350189144226,0.9690872785920122
183.0,7892.146783696967,3.503558165291517,12.66581140838723,92092.68384672939,5e-06,0.22571539801373322,0.4998022138480781,0.8715318819133128
184.0,7891.6725775958785,3.1508742999419397,11.391735500349261,92094.78481260386,5e-06,0.22570183571924213,0.4494992332966587,0.7837995770999852
185.0,7891.246098171968,2.833701157909087,10.245766977679825,92096.67443369246,5e-06,0.22568963840771827,0.4042593434269756,0.7049007855495243
186.0,7890.862541678875,2.548461742094544,9.215035084352888,92098.3739614947,5e-06,0.2256786686920158,0.3635728758368842,0.6339457069886927
187.0,7890.517587918018,2.2919396907085545,8.287960133406209,92099.90251225789,5e-06,0.2256688030144553,0.3269814760030253,0.5701342514200385
188.0,7890.207351569375,2.0612427828118305,7.454124508742095,92101.27728113908,5e-06,0.22565993025488412,0.29407293999195167,0.5127469608984654
189.0,7889.92833840326,1.8537702739601307,6.704156289270229,92102.51373503353,5e-06,0.2256519504783332,0.2644765634589881,0.46113688406968434
190.0,7889.677405896744,1.667183514674827,6.0296244669688,92103.62578612163,5e-06,0.22564477380864686,0.2378589596154297,0.4147222673320466
191.0,7889.451727837787,1.4993794636279871,5.422944760756516,92104.62594793784,5e-06,0.2256383194161607,0.21392030456359684,0.37297996607661377
192.0,7889.24876248793,1.3484669066664372,4.877294780295545,92105.52547582512,5e-06,0.2256325146071548,0.19239095904867737,0.3354395290215018
193.0,7889.066223924495,1.212745181397231,4.386537470044926,92106.33449342407,5e-06,0.22562729400424056,0.17302842297455318,0.30167790582020676
194.0,7888.902056311628,1.0906849052870708,3.9451524974442593,92107.06210628565,5e-06,0.22562259881051258,0.1556146082477549,0.27131465305648533
195.0,7888.75441072969,0.9809107040618942,3.548174341988941,92107.71650422426,5e-06,0.22561837614686914,0.13995337995201587,0.24400763782634186
196.0,7888.6216243479685,0.8821857406771495,3.191136555885557,92108.30505335548,5e-06,0.22561457845635188,0.12586834420503054,0.21944918922317155
197.0,7888.502201696615,0.7933977057908334,2.8700217166788677,92108.83437888093,5e-06,0.22561116296852315,0.11320086315469173,0.19736261338080435
198.0,7888.394797816931,0.7135463029018676,2.581216287417252,92109.31043959277,5e-06,0.22560809121756423,0.10180826566851292,0.17749908032384767
199.0,7888.298203115958,0.6417319508056711,2.321470074145068,92109.73859485911,5e-06,0.22560532860911642,0.09156224107233006,0.15963481363325155
