"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.975(R)"
74,80,2.10395753703325,0.0150117231710719,2.08489918176505,2.12755698421975
75,81,2.06679068025462,0.0140030821101775,2.04306924273859,2.08543179460581
76,82,2.02731026376803,0.0111305122781476,2.01019372693727,2.04296010147601
77,83,1.98545528242015,0.0113779055246643,1.96412127440904,1.99637718396711
78,84,1.94120634750042,0.0102941572955541,1.92353130163393,1.95043601982743
79,85,1.89461135623101,0.0130670659462538,1.87509865175929,1.91382357777047
80,86,1.84573509212344,0.0121069184730717,1.82417663565205,1.85990990990991
81,87,1.79473063611789,0.00956389654887867,1.7692532942899,1.79899840276853
82,88,1.74174398193165,0.00719178548226191,1.72797074404045,1.75077353720202
83,89,1.68701821779977,0.0107306749585701,1.66888257161601,1.69776131642248
84,90,1.63076154811142,0.0114077072487687,1.61473975471134,1.6451116761392
85,91,1.5732609386362,0.0084251511514126,1.5625719506624,1.58340109639105
86,92,1.51484743908769,0.00596431059137044,1.5045544429485,1.52104510265904
87,93,1.45582815050916,0.00471697273892202,1.4476194186862,1.462631496922
88,94,1.39656160502795,0.00686327455862694,1.38953146548595,1.41014371779052
89,95,1.33737704431762,0.00801377971782381,1.33128954350636,1.35296108578815
90,96,1.27865377834455,0.0075817891799742,1.27041238767651,1.29338735558408
91,97,1.22067969201304,0.00669104024042417,1.21206707317073,1.23382774390244
92,98,1.16379530825912,0.00535195706513782,1.15893576054612,1.17435089561818
93,99,1.1082837547286,0.00286176826894098,1.1053827549356,1.11411496709601
94,100,1.05439122419475,0.00225966938521535,1.05537207015243,1.06134103698847
95,101,1.00235799905691,0.00437784369180182,0.996459135643988,1.00976144629867
96,102,0.95235683692744,0.00548313099420057,0.941427402755054,0.958671557502507
97,103,0.904547836855469,0.00458365535897032,0.896630098157577,0.91167786467902
98,104,0.859034212274511,0.00347587961994919,0.853571616501789,0.86380498842349
99,105,0.815895218529321,0.00444793222329054,0.808081707511562,0.821880814417096
100,106,0.775184670292838,0.00438795066653391,0.767556962710397,0.780201060778265
101,107,0.736904452827373,0.00626923636724312,0.725237328596014,0.743179925609282
102,108,0.701043118850388,0.00660129815768749,0.688872956696301,0.706316317751649
103,109,0.667563195791938,0.00673056609016928,0.656793364759234,0.674252640372337
104,110,0.636411027757527,0.00509634344255756,0.629854080739908,0.643667979002625
105,111,0.607511054019886,0.00654197769110439,0.599033522128556,0.618302160168599
106,112,0.580769390909726,0.00686746775052016,0.576810152213378,0.595693688032398
107,113,0.556096313808364,0.00739613757736657,0.548810941570525,0.570076293263863
108,114,0.533381026465094,0.00624352622121456,0.526367732674057,0.545396363346359
109,115,0.512513401639167,0.00687053389940346,0.506123894565124,0.524489138834034
110,116,0.49337705767343,0.00515334762296057,0.48945181953212,0.504418863720758
111,117,0.47587062969606,0.00601099063651343,0.471266626360339,0.489835247883918
112,118,0.459880631529004,0.00755089414971547,0.451964873765093,0.474637760702525
